instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason
P-n51-k10,P,50,4,741,741.0,0.0,10,10,765,3.2388663967611335,26910,15.000096125004347,2.0565716669661924,4240,15.0,time_limit
P-n51-k10,P,50,5,741,741.0,0.0,10,10,835,12.685560053981106,26110,15.001537332951557,3.4818341250065714,6882,15.0,time_limit
P-n55-k10,P,54,1,694,694.0,0.0,10,10,738,6.340057636887608,18963,16.200379749992862,0.03994770802091807,47,16.2,time_limit
P-n55-k10,P,54,2,696,694.0,0.2881844380403458,10,10,734,5.763688760806916,18899,16.200396208034363,4.838705250003841,5683,16.2,time_limit
P-n55-k10,P,54,3,694,694.0,0.0,10,10,730,5.187319884726225,19279,16.20097312500002,2.389496000017971,2527,16.2,time_limit
P-n55-k10,P,54,4,696,694.0,0.2881844380403458,10,10,732,5.475504322766571,18405,16.200351583014708,0.8312682500109076,800,16.2,time_limit
P-n55-k10,P,54,5,696,694.0,0.2881844380403458,10,10,717,3.314121037463977,18340,16.200124875002075,3.2893730829819106,3544,16.2,time_limit
P-n55-k15,P,54,1,989,989.0,0.0,15,15,989,0.0,30000,10.020812000031583,0.0,0,16.2,stall_limit
P-n55-k15,P,54,2,989,989.0,0.0,15,15,989,0.0,30000,10.211388583004009,0.0,0,16.2,stall_limit
P-n55-k15,P,54,3,989,989.0,0.0,15,15,989,0.0,30000,10.219966999953613,0.0,0,16.2,stall_limit
P-n55-k15,P,54,4,989,989.0,0.0,15,15,989,0.0,30000,10.571878458024003,0.0,0,16.2,stall_limit
P-n55-k15,P,54,5,989,989.0,0.0,15,15,989,0.0,30000,10.804948250006419,0.0,0,16.2,stall_limit
P-n55-k7,P,54,1,568,568.0,0.0,7,7,600,5.633802816901408,16744,16.200871666020248,5.793371749983635,5962,16.2,time_limit
P-n55-k7,P,54,2,568,568.0,0.0,7,7,587,3.3450704225352115,17196,16.200350917002652,0.14295145799405873,153,16.2,time_limit
P-n55-k7,P,54,3,568,568.0,0.0,7,7,610,7.394366197183099,17262,16.200264542014338,5.7933420420158654,6204,16.2,time_limit
P-n55-k7,P,54,4,568,568.0,0.0,7,7,595,4.753521126760563,17008,16.201828749966808,1.2541670000064187,1277,16.2,time_limit
P-n55-k7,P,54,5,568,568.0,0.0,7,7,611,7.570422535211268,17438,16.200221250008326,2.190392749966122,2580,16.2,time_limit
P-n55-k8,P,54,1,588,588.0,0.0,8,8,630,7.142857142857143,17271,16.200849792046938,0.3167872500489466,388,16.2,time_limit
P-n55-k8,P,54,2,588,588.0,0.0,8,8,605,2.891156462585034,17612,16.204689292004332,0.6615267500164919,712,16.2,time_limit
P-n55-k8,P,54,3,588,588.0,0.0,8,8,623,5.9523809523809526,17708,16.200105959025677,0.1080169589840807,124,16.2,time_limit
P-n55-k8,P,54,4,588,588.0,0.0,8,8,611,3.9115646258503403,18050,16.200156125007197,1.3195429590414278,1494,16.2,time_limit
P-n55-k8,P,54,5,588,588.0,0.0,8,8,631,7.312925170068027,17403,16.200770791969262,0.0357768340036273,34,16.2,time_limit
